脚本ID,脚本名,解压后字节数,命中关键词,候选文件
225,トリス戦闘回想 ver10,17318,tribe; 種族; 職業,0225__ver10.rb
226,SettingData処理 ver1,3133,"",""
227,トリス能力倍率表示 ver1,3050,種族; 職業,0227__ver1.rb
228,"",0,"",""
229,セーブ不具合対処 ver7,8778,"",""
230,システムセーブ不具合対処 ver2,5286,"",""
231,セーブデータ異常修正 ver2,3280,"",""
232,"",0,"",""
233,トリスイベント検索 ver5,26455,職業,0233__ver5.rb
234,トリスセーブ消失発生 ver1,910,"",""
235,トリスパーティ人数検索 ver1,12412,"",""
236,トリス加入演出確認 ver1,2633,"",""
237,"",0,"",""
238,const,2599,"",""
239,t修正X ver4,22472,"",""
240,修正10,133,"",""
241,14/challenge_battle/enemy,427,"",""
242,14/contents_builder,560,"",""
243,14/display_param_give_unit,650,"",""
244,14/global_love,1584,"",""
245,14/library_h/struct,6152,"",""
246,14/library_h/cg_view,3987,"",""
247,14/library_h/window,1876,"",""
248,14/library_h/manager,1998,"",""
249,14/library_h/scene,1757,"",""
250,14/library_h/scene_refine,718,"",""
251,14/party_refine,348,"",""
252,14/set_effect/ft,589,"",""
253,14/set_effect/window,2450,"",""
254,15/add_built_in,3485,subclass,0254_15_add_built_in.rb
255,15/choicelist,464,"",""
256,15/encount_region_change,1497,"",""
257,15/eval_battler,2285,"",""
258,15/favorite,148,"",""
259,15/library_music,4078,"",""
260,15/save_bitmap,6401,"",""
261,15/skill_chain,1292,"",""
262,15/socket_equip,5329,"",""
263,15/state_check/window,1815,"",""
264,15/turn_end_revive,376,"",""
265,succubus,1912,"",""
266,装備選択,1229,"",""
267,追加/倉庫,10296,"",""
268,追加/装備強化,16239,"",""
269,表示追加,600,"",""
270,スキル消去/SceneForgetMenuBase,1008,"",""
271,スキル消去/SceneForget,991,"",""
272,スキル消去/SceneForgetAbility,1577,"",""
273,スキル消去/SceneForgetSkill,1985,"",""
274,スキル消去/SceneInitSkill,1183,"",""
275,スキル消去/Window,3320,"",""
276,パーティ編成保存/add,248,"",""
277,パーティ編成保存/ScenePartyForm,328,"",""
278,パーティ編成保存/ScenePartyLoad,626,"",""
279,パーティ編成保存/ScenePartySave,430,"",""
280,パーティ編成保存/Window,1562,"",""
281,パーティ分割/party,4973,"",""
282,パーティ分割/scene,8134,"",""
283,パーティ分割/window,4578,"",""
284,アビリティ保存/scene_file,827,"",""
285,アビリティ保存/add,435,"",""
